"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.94798220859874e-52,-0.273372297012038,0.065,0.132,7.04921505720132e-48,"HSC/MPP","SLC24A3"
2.74525757776031e-50,-0.25512986981276,0.668,0.698,6.56445991994047e-46,"HSC/MPP","PFN1"
1.79595402549019e-48,-0.631746238662566,0.22,0.289,4.29448526575214e-44,"HSC/MPP","ZNF385D"
8.19013285026211e-48,-0.368235694651038,0.45,0.501,1.95842456715468e-43,"HSC/MPP","PRKCB"
1.01104931573753e-47,-0.257198416226153,0.27,0.352,2.41762112379159e-43,"HSC/MPP","SMC4"
1.5718224068512e-41,-0.333460926725303,0.732,0.721,3.7585417392626e-37,"HSC/MPP","VIM"
3.04846305629815e-39,-0.440341448000198,0.652,0.685,7.28948486022014e-35,"HSC/MPP","HMGN2"
2.72839535215734e-38,-0.340167346423669,0.659,0.69,6.52413896607864e-34,"HSC/MPP","H2AFZ"
2.81427790140884e-37,-0.374980266299744,0.618,0.612,6.72950131784881e-33,"HSC/MPP","HLA-DPB1"
7.08953490325398e-37,-0.302742898418639,0.53,0.549,1.69524958606609e-32,"HSC/MPP","HLA-DPA1"
